	22	23	24	25	26	27	28	29	30	31	32	33	34
Z.cinnamomum	1	0	6	0	10	0	8	2	7	7	24	9	26
Buchenaviasp.	0	0	0	0	0	0	5	3	49	3	29	3	6
C.chrysocalyx	5	0	47	1	4	0	1	3	8	2	17	2	8
E.falcata	1	0	2	0	4	1	13	2	21	4	25	6	22
Sloaneasp.	1	1	1	0	5	1	58	1	18	0	9	0	6
C.cuneifolium	3	0	3	0	0	0	10	15	22	10	16	4	17
P.nitidifolium	0	0	0	0	0	0	16	3	27	4	35	5	10
Protiumsp.	1	0	6	1	32	1	10	1	32	1	10	1	4
Unidentified_1	4	0	5	0	4	0	11	6	43	4	12	0	10
Unidentified_2	16	0	11	0	7	0	10	7	30	5	13	0	0
WalkwayLeafLitter	4	0	3	0	4	1	15	6	23	6	23	4	11
C.minor	0	0	4	0	11	0	24	0	9	0	27	0	24
P.geyskeii	11	1	5	1	40	2	23	1	10	0	4	0	2
Myrciasp.	3	0	20	1	16	1	11	3	24	2	16	0	4
S.cyperina	2	0	11	0	36	0	27	0	13	0	8	0	4
